ClosedDate,SoldPr,Type,Zip,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,houseEra
8/31/2020,661125.0,SFH,60062,2826,12,3,1,Yes,4.0,1,2.0,19A
4/24/2019,540021.25,SFH,60201,1350,7,2,0,Yes,3.0,0,2.0,19B
11/15/2019,661893.75,SFH,60062,3750,9,4,1,Yes,4.0,1,2.0,20A
5/20/2020,336148.74999999994,Townhouse,60077,2138,7,2,1,No,3.0,0,2.0,19A
10/8/2019,1549671.8749999998,SFH,60091,6843,14,5,1,Yes,5.0,1,3.5,recent
2/28/2020,543250.0,SFH,60025,1713,8,2,0,No,3.0,0,1.0,19A
3/2/2020,435624.99999999994,SFH,60025,2100,9,2,1,No,4.0,0,2.0,19A
8/29/2019,457021.87499999994,Townhouse,60025,3400,7,2,1,No,3.0,0,2.0,19A
5/3/2017,149014.74023437494,Condo,60077,1586,6,2,0,No,3.0,0,1.0,19A
6/7/2019,273162.5,SFH,60077,1326,7,2,0,Yes,3.0,0,0.0,19A
10/1/2020,230624.99999999997,Condo,60062,1630,5,2,0,No,2.0,0,1.0,19A
7/24/2020,225499.99999999997,Condo,60077,1100,5,2,0,No,2.0,0,1.0,20A
6/4/2019,367718.75,Townhouse,60025,2462,7,2,1,No,3.0,0,2.0,19A
10/30/2019,334098.75,SFH,60062,1792,7,2,0,No,3.0,0,2.0,19A
7/24/2019,430756.24999999994,SFH,60077,2800,9,2,1,Yes,4.0,0,2.0,19A
1/17/2019,229036.24999999997,Condo,60053,1585,6,2,0,No,2.0,0,1.0,19A
7/1/2020,973749.9999999999,SFH,60025,2454,8,3,2,Yes,4.0,0,2.0,19A
7/31/2020,1448324.9999999998,SFH,60201,4900,16,5,1,Yes,5.0,1,2.0,20A
3/30/2020,673937.4999999999,SFH,60026,3291,9,2,1,No,4.0,0,2.1,19A
7/2/2020,666250.0,SFH,60002,3799,11,3,1,Yes,4.0,1,3.0,19B
11/21/2018,619212.1093749998,SFH,60062,2074,10,2,1,No,4.0,0,2.0,19A
6/13/2019,340402.5,SFH,60077,1269,9,2,0,Yes,3.0,0,2.0,19A
9/3/2019,234289.37499999997,Condo,60201,1000,5,1,0,No,2.0,0,1.0,19A
2/21/2019,358263.125,SFH,60203,2700,9,2,0,Yes,3.0,0,2.5,19A
8/31/2020,308525.0,SFH,60053,1092,8,2,0,Yes,3.0,0,2.5,19A
12/16/2020,645750.0,SFH,60053,4065,11,3,1,Yes,5.0,1,2.5,19A
12/7/2020,276750.0,SFH,60025,1134,6,1,0,No,3.0,0,1.0,19A
6/28/2019,210124.99999999997,Townhouse,60077,1055,7,1,1,No,3.0,0,0.0,19A
2/20/2018,441525.1562499999,SFH,60076,1888,7,3,0,No,4.0,0,2.0,19A
8/21/2019,766956.2499999999,SFH,60062,3337,10,4,1,Yes,4.0,0,2.0,recent
1/22/2018,387680.6249999999,SFH,60062,2879,8,2,0,No,4.0,0,1.0,19A
5/28/2019,250048.74999999997,Condo,60076,1910,6,2,0,No,2.0,0,1.0,19A
11/24/2020,337224.99999999994,SFH,60053,801,7,2,0,Yes,2.0,1,2.0,19A
5/7/2019,682906.25,SFH,60025,2684,10,2,1,No,4.0,0,2.5,19A
2/27/2020,356699.99999999994,SFH,60091,2035,7,1,1,Yes,3.0,0,2.5,19A
10/6/2017,248357.90039062488,Townhouse,60076,1051,6,1,1,No,3.0,0,0.0,19A
6/26/2019,726507.1875,SFH,60062,3046,11,2,1,No,4.0,0,2.0,19A
9/30/2019,351434.0625,Condo,60202,1900,6,2,0,No,3.0,0,0.0,19B
